City,Country,Region,Segment,Ship Mode,State,Days to Ship,Product Name,Discount,Actual Discount,Sales,Profit,Quantity,Category,Sub-Category,Year
Stockholm,Sweden,North,Home Office,Economy Plus,Stockholm,4,"Enermax Note Cards, Premium",0.5,22.5,45,-26,3,Office Supplies,Paper,2013
Southport,United Kingdom,North,Consumer,Economy,England,4,"Dania Corner Shelving, Traditional",0.0,0.0,854,290,7,Furniture,Bookcases,2013
Valence,France,Central,Consumer,Economy,Auvergne-Rhône-Alpes,4,"Binney & Smith Sketch Pad, Easy-Erase",0.0,0.0,140,21,3,Office Supplies,Art,2013
Birmingham,United Kingdom,North,Corporate,Economy,England,5,"Boston Markers, Easy-Erase",0.5,13.5,27,-22,2,Office Supplies,Art,2013
Birmingham,United Kingdom,North,Corporate,Economy,England,5,"Eldon Folders, Single Width",0.5,8.5,17,-1,2,Office Supplies,Storage,2013
Echirolles,France,Central,Home Office,Priority,Auvergne-Rhône-Alpes,2,"Binney & Smith Pencil Sharpener, Water Color",0.0,0.0,90,21,3,Office Supplies,Art,2013
Echirolles,France,Central,Home Office,Priority,Auvergne-Rhône-Alpes,2,"Sanford Canvas, Fluorescent",0.0,0.0,207,77,4,Office Supplies,Art,2013
La Seyne-sur-Mer,France,Central,Corporate,Priority,Provence-Alpes-Côte d'Azur,1,"Bush Floating Shelf Set, Pine",0.1,15.5,155,36,1,Furniture,Bookcases,2013
La Seyne-sur-Mer,France,Central,Corporate,Priority,Provence-Alpes-Côte d'Azur,1,"Accos Thumb Tacks, Assorted Sizes",0.0,0.0,33,2,3,Office Supplies,Fasteners,2013
La Seyne-sur-Mer,France,Central,Corporate,Priority,Provence-Alpes-Côte d'Azur,1,"Smead Lockers, Industrial",0.1,71.6,716,143,4,Office Supplies,Storage,2013
Toulouse,France,Central,Consumer,Economy,Languedoc-Roussillon-Midi-Pyrénées,6,"Ikea Classic Bookcase, Metal",0.6000000000000001,592.2,987,-1012,6,Furniture,Bookcases,2013
Toulouse,France,Central,Consumer,Economy,Languedoc-Roussillon-Midi-Pyrénées,6,"Binney & Smith Sketch Pad, Blue",0.5,58.0,116,-56,5,Office Supplies,Art,2013
Genoa,Italy,South,Consumer,Economy,Liguria,5,"Ibico Hole Reinforcements, Recycled",0.0,0.0,22,7,3,Office Supplies,Binders,2013
Vienna,Austria,Central,Consumer,Economy,Vienna,4,"Boston Canvas, Fluorescent",0.0,0.0,55,10,1,Office Supplies,Art,2013
Vienna,Austria,Central,Consumer,Economy,Vienna,4,"Smead Trays, Single Width",0.0,0.0,97,31,2,Office Supplies,Storage,2013
Murcia,Spain,South,Consumer,Economy,Murcia,4,"Bevis Training Table, with Bottom Storage",0.6000000000000001,160.8,268,-342,2,Furniture,Tables,2013
Murcia,Spain,South,Consumer,Economy,Murcia,4,"Novimex File Folder Labels, Alphabetical",0.0,0.0,40,6,5,Office Supplies,Labels,2013
Woking,United Kingdom,North,Consumer,Immediate,England,0,"SAFCO Executive Leather Armchair, Red",0.0,0.0,1384,14,3,Furniture,Chairs,2013
Woking,United Kingdom,North,Consumer,Immediate,England,0,"Binney & Smith Canvas, Blue",0.0,0.0,103,20,2,Office Supplies,Art,2013
Lohne,Germany,Central,Corporate,Economy,Lower Saxony,7,"Ikea Stackable Bookrack, Traditional",0.1,55.2,552,165,5,Furniture,Bookcases,2013
